hospital_key,hospital_name,oh_region,peer_group,reporting_period,period_date,indicator_code,indicator_label,avg_hours,patient_volume,pct_within_target,target_hours,over_target_flag
peterborough regional health centre,Peterborough Regional Health Centre,East,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,14.39,854.0,37.1,8.0,1
peterborough regional health centre,Peterborough Regional Health Centre,East,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.9,1455.0,92.2,8.0,0
peterborough regional health centre,Peterborough Regional Health Centre,East,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",3.86,3322.0,89.1,4.0,0
peterborough regional health centre,Peterborough Regional Health Centre,East,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.91,4947.0,86.7,2.0,0
royal victoria regional health centre,Royal Victoria Regional Health Centre,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,12.25,998.0,51.9,8.0,1
royal victoria regional health centre,Royal Victoria Regional Health Centre,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.01,1504.0,95.0,8.0,0
royal victoria regional health centre,Royal Victoria Regional Health Centre,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.34,2582.0,77.3,4.0,1
royal victoria regional health centre,Royal Victoria Regional Health Centre,Central,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.35,3555.0,73.7,2.0,1
scarborough health network - general,Scarborough Health Network - General,Toronto,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,14.55,727.0,36.8,8.0,1
scarborough health network - general,Scarborough Health Network - General,Toronto,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",8.07,1991.0,82.0,8.0,1
scarborough health network - general,Scarborough Health Network - General,Toronto,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",,3123.0,95.0,4.0,0
scarborough health network - general,Scarborough Health Network - General,Toronto,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.78,4894.0,89.6,2.0,0
st. michael's hospital,St. Michael's Hospital,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,14.98,904.0,32.7,8.0,1
st. michael's hospital,St. Michael's Hospital,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.92,2233.0,81.4,8.0,0
st. michael's hospital,St. Michael's Hospital,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.17,3104.0,65.8,4.0,1
st. michael's hospital,St. Michael's Hospital,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.04,4795.0,86.4,2.0,1
sunnybrook health sciences centre,Sunnybrook Health Sciences Centre,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,16.8,947.0,25.7,8.0,1
sunnybrook health sciences centre,Sunnybrook Health Sciences Centre,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.41,1689.0,88.1,8.0,0
sunnybrook health sciences centre,Sunnybrook Health Sciences Centre,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.48,2926.0,60.5,4.0,1
sunnybrook health sciences centre,Sunnybrook Health Sciences Centre,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.24,4416.0,77.7,2.0,1
thunder bay regional health sciences centre,Thunder Bay Regional Health Sciences Centre,North,Teaching,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,14.29,1043.0,42.1,8.0,1
thunder bay regional health sciences centre,Thunder Bay Regional Health Sciences Centre,North,Teaching,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.16,1525.0,95.0,8.0,0
thunder bay regional health sciences centre,Thunder Bay Regional Health Sciences Centre,North,Teaching,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.43,2367.0,63.4,4.0,1
thunder bay regional health sciences centre,Thunder Bay Regional Health Sciences Centre,North,Teaching,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.2,3442.0,76.6,2.0,1
toronto general hospital,Toronto General Hospital,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,15.27,925.0,29.9,8.0,1
toronto general hospital,Toronto General Hospital,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.63,2221.0,93.7,8.0,0
toronto general hospital,Toronto General Hospital,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.66,2366.0,,4.0,1
toronto general hospital,Toronto General Hospital,Toronto,Teaching,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.42,3236.0,,2.0,1
trillium health partners - mississauga,Trillium Health Partners - Mississauga,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,14.09,1005.0,45.5,8.0,1
trillium health partners - mississauga,Trillium Health Partners - Mississauga,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.29,1694.0,95.0,8.0,0
trillium health partners - mississauga,Trillium Health Partners - Mississauga,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.73,2715.0,72.3,4.0,1
trillium health partners - mississauga,Trillium Health Partners - Mississauga,Central,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.76,3290.0,87.7,2.0,0
william osler health system - brampton civic,William Osler Health System - Brampton Civic,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,12.34,691.0,53.0,8.0,1
william osler health system - brampton civic,William Osler Health System - Brampton Civic,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.18,1927.0,89.2,8.0,0
william osler health system - brampton civic,William Osler Health System - Brampton Civic,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.51,2828.0,61.4,4.0,1
william osler health system - brampton civic,William Osler Health System - Brampton Civic,Central,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.29,4159.0,71.6,2.0,1
windsor regional hospital - ouellette,Windsor Regional Hospital - Ouellette,West,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,14.88,796.0,33.7,8.0,1
windsor regional hospital - ouellette,Windsor Regional Hospital - Ouellette,West,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.17,1557.0,90.9,8.0,0
windsor regional hospital - ouellette,Windsor Regional Hospital - Ouellette,West,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.32,3213.0,65.5,4.0,1
windsor regional hospital - ouellette,Windsor Regional Hospital - Ouellette,West,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.68,4071.0,93.5,2.0,0
grand river hospital,Grand River Hospital,West,Large Community,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,12.34,878.0,50.2,8.0,1
grand river hospital,Grand River Hospital,West,Large Community,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.2,1653.0,95.0,8.0,0
grand river hospital,Grand River Hospital,West,Large Community,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",3.9,2138.0,82.6,4.0,0
grand river hospital,Grand River Hospital,West,Large Community,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.64,3684.0,89.5,2.0,0
hamilton health sciences - general,Hamilton Health Sciences - General,West,Teaching,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,16.69,723.0,25.0,8.0,1
hamilton health sciences - general,Hamilton Health Sciences - General,West,Teaching,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.1,1769.0,95.0,8.0,0
hamilton health sciences - general,Hamilton Health Sciences - General,West,Teaching,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.49,2182.0,66.1,4.0,1
hamilton health sciences - general,Hamilton Health Sciences - General,West,Teaching,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.07,4946.0,84.3,2.0,1
health sciences north,Health Sciences North,North,Teaching,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,17.53,1068.0,25.0,8.0,1
health sciences north,Health Sciences North,North,Teaching,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.87,1534.0,90.9,8.0,0
health sciences north,Health Sciences North,North,Teaching,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.07,2243.0,,4.0,1
health sciences north,Health Sciences North,North,Teaching,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.97,3981.0,83.0,2.0,0
kingston health sciences centre,Kingston Health Sciences Centre,East,Teaching,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,16.59,891.0,25.0,8.0,1
kingston health sciences centre,Kingston Health Sciences Centre,East,Teaching,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.75,1898.0,82.4,8.0,0
kingston health sciences centre,Kingston Health Sciences Centre,East,Teaching,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.38,2892.0,63.0,4.0,1
kingston health sciences centre,Kingston Health Sciences Centre,East,Teaching,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,,4129.0,95.0,2.0,0
lakeridge health - oshawa,Lakeridge Health - Oshawa,Central,Large Community,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,13.68,939.0,47.9,8.0,1
lakeridge health - oshawa,Lakeridge Health - Oshawa,Central,Large Community,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.05,1514.0,95.0,8.0,0
lakeridge health - oshawa,Lakeridge Health - Oshawa,Central,Large Community,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.21,2925.0,83.0,4.0,1
lakeridge health - oshawa,Lakeridge Health - Oshawa,Central,Large Community,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.26,4724.0,78.2,2.0,1
london health sciences centre - victoria,London Health Sciences Centre - Victoria,West,Teaching,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,15.04,857.0,36.4,8.0,1
london health sciences centre - victoria,London Health Sciences Centre - Victoria,West,Teaching,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",5.84,1575.0,95.0,8.0,0
london health sciences centre - victoria,London Health Sciences Centre - Victoria,West,Teaching,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.96,2221.0,71.5,4.0,1
london health sciences centre - victoria,London Health Sciences Centre - Victoria,West,Teaching,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.04,3822.0,83.6,2.0,1
markham stouffville hospital,Markham Stouffville Hospital,Central,Large Community,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,16.12,1010.0,27.3,8.0,1
markham stouffville hospital,Markham Stouffville Hospital,Central,Large Community,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.58,2158.0,87.6,8.0,0
markham stouffville hospital,Markham Stouffville Hospital,Central,Large Community,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.03,2499.0,65.3,4.0,1
markham stouffville hospital,Markham Stouffville Hospital,Central,Large Community,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.39,3423.0,69.9,2.0,1
niagara health - st. catharines,Niagara Health - St. Catharines,West,Large Community,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,13.5,1064.0,45.4,8.0,1
niagara health - st. catharines,Niagara Health - St. Catharines,West,Large Community,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",5.7,2003.0,95.0,8.0,0
niagara health - st. catharines,Niagara Health - St. Catharines,West,Large Community,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.33,3271.0,65.1,4.0,1
niagara health - st. catharines,Niagara Health - St. Catharines,West,Large Community,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.88,4280.0,86.6,2.0,0
north york general hospital,North York General Hospital,Toronto,Large Community,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,16.39,1045.0,27.5,8.0,1
north york general hospital,North York General Hospital,Toronto,Large Community,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.38,1542.0,92.4,8.0,0
north york general hospital,North York General Hospital,Toronto,Large Community,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.28,2341.0,83.6,4.0,1
north york general hospital,North York General Hospital,Toronto,Large Community,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.14,3231.0,79.1,2.0,1
ottawa hospital - civic campus,Ottawa Hospital - Civic Campus,East,Teaching,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,13.61,704.0,42.8,8.0,1
ottawa hospital - civic campus,Ottawa Hospital - Civic Campus,East,Teaching,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.03,1645.0,86.4,8.0,0
ottawa hospital - civic campus,Ottawa Hospital - Civic Campus,East,Teaching,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.14,2657.0,68.5,4.0,1
ottawa hospital - civic campus,Ottawa Hospital - Civic Campus,East,Teaching,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.24,3431.0,77.8,2.0,1
peterborough regional health centre,Peterborough Regional Health Centre,East,Large Community,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,14.57,884.0,,8.0,1
peterborough regional health centre,Peterborough Regional Health Centre,East,Large Community,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.18,1663.0,90.3,8.0,0
peterborough regional health centre,Peterborough Regional Health Centre,East,Large Community,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",,2638.0,95.0,4.0,0
peterborough regional health centre,Peterborough Regional Health Centre,East,Large Community,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.87,3644.0,89.1,2.0,0
royal victoria regional health centre,Royal Victoria Regional Health Centre,Central,Large Community,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,12.15,986.0,58.4,8.0,1
royal victoria regional health centre,Royal Victoria Regional Health Centre,Central,Large Community,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.04,2112.0,95.0,8.0,0
royal victoria regional health centre,Royal Victoria Regional Health Centre,Central,Large Community,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.39,2749.0,80.7,4.0,1
royal victoria regional health centre,Royal Victoria Regional Health Centre,Central,Large Community,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.33,4522.0,70.6,2.0,1
scarborough health network - general,Scarborough Health Network - General,Toronto,Large Community,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,,737.0,38.5,8.0,0
scarborough health network - general,Scarborough Health Network - General,Toronto,Large Community,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.93,1570.0,89.8,8.0,0
scarborough health network - general,Scarborough Health Network - General,Toronto,Large Community,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.88,2134.0,70.8,4.0,1
scarborough health network - general,Scarborough Health Network - General,Toronto,Large Community,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.0,4867.0,86.7,2.0,0
st. michael's hospital,St. Michael's Hospital,Toronto,Teaching,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,18.98,993.0,25.0,8.0,1
st. michael's hospital,St. Michael's Hospital,Toronto,Teaching,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",8.05,2004.0,81.4,8.0,1
st. michael's hospital,St. Michael's Hospital,Toronto,Teaching,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.89,3166.0,55.1,4.0,1
st. michael's hospital,St. Michael's Hospital,Toronto,Teaching,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.5,3303.0,69.6,2.0,1
sunnybrook health sciences centre,Sunnybrook Health Sciences Centre,Toronto,Teaching,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,17.68,1061.0,25.0,8.0,1
sunnybrook health sciences centre,Sunnybrook Health Sciences Centre,Toronto,Teaching,202408,2024-08-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.9,2113.0,93.5,8.0,0
sunnybrook health sciences centre,Sunnybrook Health Sciences Centre,Toronto,Teaching,202408,2024-08-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.3,2285.0,62.7,4.0,1
sunnybrook health sciences centre,Sunnybrook Health Sciences Centre,Toronto,Teaching,202408,2024-08-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.07,3642.0,82.6,2.0,1
thunder bay regional health sciences centre,Thunder Bay Regional Health Sciences Centre,North,Teaching,202408,2024-08-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,12.7,806.0,52.5,8.0,1
