Hospital_Name,OH_Region,Peer_Group,Reporting_Period,Indicator_Code,Avg_Hours,Patient_Volume,Pct_Within_Target,Target_Hours
The Ottawa Hospital Civic,East,Teaching,2025-01-01,WT_PHYS_ASSESS,2.13,5196,,2.0
William Osler Health System - Brampton Civic,Central,Large Community,2025-06,LOS_LOW_URGENCY,4.61,3271,71.3,4.0
Markham Stouffville Hospital,Central,Large Community,2026-06,LOS_ADMITTED,,923,38.9,8.0
TOH Civic,East,Teaching,2025-06-01,LOS_LOW_URGENCY,5.09,2440,67.7,4.0
Oak Valley Health - Markham,Central,Large Community,2026-04-01,LOS_LOW_URGENCY,4.64,3074,77.0,4.0
Royal Victoria Barrie,Central,Large Community,2026-05-01,LOS_HIGH_URGENCY,6.65,2327,94.1,8.0
Markham Stouffville Hospital,Central,Large Community,2024-12-01,LOS_HIGH_URGENCY,8.19,2171,,8.0
Niagara Health SCS,West,Large Community,4/2026,LOS_ADMITTED,16.08,820,28.8,8.0
Oshawa General,Central,Large Community,5/2025,LOS_ADMITTED,13.87,1041,44.1,8.0
Toronto General Hospital,Toronto,Teaching,2025-12-01,LOS_ADMITTED,21.09,1125,25.0,8.0
KHSC,East,Teaching,9/2025,LOS_ADMITTED,13.13,942,50.9%,8.0
SHN General,Toronto,Large Community,2025-07,LOS_LOW_URGENCY,4.56,2247,79.3,4.0
HHS General Site,West,Teaching,3/2026,LOS_LOW_URGENCY,5.54,2502,62.3,4.0
Osler Brampton Civic,Central,Large Community,202606,LOS_ADMITTED,13.62,727,47.6,8.0
William Osler Health System - Brampton Civic,Central,Large Community,2026-01,WT_PHYS_ASSESS,2.04,4260,80.4,2.0
Sudbury Regional Hospital,North,Teaching,2/2026,WT_PHYS_ASSESS,2.17,4353,81.6,2.0
HSN Sudbury,North,Teaching,202410,WT_PHYS_ASSESS,2.02,4933,,2.0
St Catharines General,West,Large Community,2024-08-01,LOS_HIGH_URGENCY,6.88,2221,93.1,8.0
Royal Victoria Barrie,CENTRAL,Large Community,2024-07,LOS_ADMITTED,12.95,797,50.3,8.0
NYGH,Toronto,Large Community,2024-11-01,LOS_ADMITTED,13.86,720,46.6,8.0
NYGH,Toronto,Large Community,2025-08-01,LOS_HIGH_URGENCY,7.89,1557,86.0,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,2024-11-01,LOS_LOW_URGENCY,5.44,3235,63.9,4.0
SUNNYBROOK,Toronto,Teaching,2025-11,LOS_HIGH_URGENCY,-1.0,1710,95.0,8.0
Lakeridge Oshawa,Central,Large Community,202603,LOS_ADMITTED,16.96,781,25.0,8.0
THP Mississauga,Central,Large Community,202510,WT_PHYS_ASSESS,2.3,4162,78.0,2.0
Peterborough Regional,East,Large Community,2026-01,WT_PHYS_ASSESS,1.93,5395,86.9,2.0
Thunder Bay Regional,North,Teaching,11/2024,LOS_ADMITTED,13.44,981,44.7,8.0
Kingston General Hospital,East,Teaching,2024-11,WT_PHYS_ASSESS,2.28,3506,72.8,2.0
Grand River Hosp,West,Large Community,2025-04,LOS_ADMITTED,13.15,886,46.3,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,2025-03-01,LOS_LOW_URGENCY,5.88,2401,57.1,4.0
London Health Sciences Centre - Victoria,West,Teaching,2026-01,LOS_ADMITTED,15.13,867,37.4,8.0
Osler Brampton Civic,Central,Large Community,2025-08-01,LOS_LOW_URGENCY,4.16,2962,,4.0
North York General,Toronto,Large Community,2025-04,LOS_HIGH_URGENCY,7.19,1949,90.3,8.0
Royal Victoria Barrie,Central,Large Community,2025-11-01,LOS_LOW_URGENCY,5.97,2962,58.6,4.0
Ottawa Hospital - Civic Campus,East,Teaching,7/2024,LOS_LOW_URGENCY,5.05,2911,71.8,4.0
Oshawa General,Central,Large Community,2025-10,WT_PHYS_ASSESS,2.29,4299,76.9,2.0
Lakeridge Health - Oshawa,Central,Large Community,2/2026,LOS_ADMITTED,15.08,1111,34.5,8.0
SUNNYBROOK,Toronto,Teaching,2025-08,LOS_HIGH_URGENCY,7.89,2181,,8.0
Peterborough Regional,East,Large Community,2025-04,WT_PHYS_ASSESS,1.91,3960,87.1,2.0
Hamilton General,West,Teaching,2026-04,LOS_HIGH_URGENCY,6.69,1654,95.0,8.0
Toronto General Hospital,Toronto,Teaching,2025-08-01,LOS_ADMITTED,15.76,1033,31.1,8.0
HHS General Site,West,Teaching,202505,WT_PHYS_ASSESS,2.07,4904,82.1,2.0
Hamilton General,WEST,Teaching,12/2024,los_low_urgency,6.38,3100,48.2,4.0
PRHC,East,Large Community,10/2024,LOS_ADMITTED,12.35,750,54.5,8.0
PRHC,East,Large Community,202512,WT_PHYS_ASSESS,2.36,4950,75.0,2.0
UHN - Toronto General,Toronto,Teaching,2026-03,LOS_LOW_URGENCY,5.08,2297,71.7,4.0
NYGH,Toronto,Large Community,2024-08-01,LOS_LOW_URGENCY,4.37,3187,77.8%,4.0
St. Michael's Hospital,Toronto,Teaching,2026-02,WT_PHYS_ASSESS,3.06,4315,54.4,2.0
SHN General,Toronto,Large Community,11/2024,LOS_ADMITTED,15.91,784,31.4,8.0
SUNNYBROOK,Toronto,Teaching,202604,LOS_LOW_URGENCY,5.44,2950,62.3,4.0
TORONTO GENERAL,Toronto,Teaching,202508,LOS_LOW_URGENCY,-1.0,2250,95.0,4.0
Niagara Health SCS,West,Large Community,202502,LOS_ADMITTED,16.08,1145,25.0,8.0
London Health Sciences Centre - Victoria,West,Teaching,2025-01,WT_PHYS_ASSESS,2.39,5234,69.3,2.0
Kingston Health Sciences Centre,East,Teaching,7/2024,LOS_HIGH_URGENCY,7.61,2078,86.2,8.0
Niagara Health - St. Catharines,West,Large Community,3/2026,LOS_LOW_URGENCY,4.41,2852,76.8,4.0
RVH Barrie,Central,Large Community,2025-02-01,WT_PHYS_ASSESS,2.74,4622,,2.0
Sunnybrook HSC,Toronto,Teaching,8/2025,LOS_LOW_URGENCY,-1.0,3050,95.0,4.0
PRHC,East,Large Community,2026-04-01,WT_PHYS_ASSESS,1.94,4902,81.0,2.0
Grand River Hosp,West,Large Community,202411,WT_PHYS_ASSESS,2.27,5248,75.0,2.0
NYGH,Toronto,Large Community,2025-11,LOS_LOW_URGENCY,5.78,2715,57.2,4.0
PRHC,East,Large Community,2/2025,LOS_HIGH_URGENCY,7.93,2217,86.0,8.0
TOH Civic,East,Teaching,2024-10-01,WT_PHYS_ASSESS,1.99,4532,85.5,2.0
TORONTO GENERAL,Toronto,Teaching,2025-02-01,LOS_ADMITTED,16.52,1107,25.0,8.0
Toronto General Hospital,Toronto,Teaching,202411,LOS_ADMITTED,14.81,795,40.2,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,3/2025,LOS_ADMITTED,16.21,1030,29.3,8.0
NYGH,TORONTO,Large Community,10/2024,WT_PHYS_ASSESS,1.9,4793,84.8,2.0
SHN General,Toronto,Large Community,2026-04,WT_PHYS_ASSESS,2.49,4973,71.8,2.0
St. Michael's Hospital,Toronto,Teaching,2025-12-01,LOS_HIGH_URGENCY,8.57,2449,82.3,8.0
PRHC,East,Large Community,2024-08-01,LOS_LOW_URGENCY,3.96,2679,86.5,4.0
St. Michael's Hospital,Toronto,Teaching,2026-03,LOS_LOW_URGENCY,6.58,2720,52.0,4.0
Windsor Regional Hospital - Ouellette,West,Large Community,10/2025,LOS_HIGH_URGENCY,6.93,1851,94.4,8.0
GRH Kitchener,West,Large Community,202504,LOS_LOW_URGENCY,4.1,2980,85.3,4.0
GRH Kitchener,West,Large Community,2025-01,LOS_ADMITTED,17.31,1007,25.0,8.0
